id,Species,Height in cm,Location
1,Aesculus glabra Willd. var. arguta (Buckley) B.L. Rob.,341,TX
2,Triteleia peduncularis Lindl.,154,OH
3,Lindernia ciliata (Colsmann) Pennell,302,NY
4,Acacia alata R. Br.,288,CA
5,Actaea ×ludovici B. Boivin,241,AZ
6,Linum australe A. Heller var. glandulosum C.M. Rogers,420,DC
7,Plagiobothrys acanthocarpus (Piper) I.M. Johnst.,395,MI
8,Heteropterys laurifolia (L.) A. Juss.,105,DC
9,"Centaurium namatophilum Reveal, C.R. Broome & Beatley",221,WA
10,Calotis R. Br.,358,GA
11,Stemodia durantifolia (L.) Sw.,116,WI
12,Clematis campaniflora Brot.,284,WA
13,Viola vallicola A. Nelson,416,TX
14,Erythronium oregonum Applegate,130,VA
15,Argusia sibirica (L.) Dandy,273,CT
16,Nothocestrum peltatum Skottsb.,267,IL
17,Lupinus sericeus Pursh ssp. sericeus var. wallowensis C.P. Sm.,269,MA
18,Vanilla pompona Schiede,390,WA
19,Heuchera parviflora Bartlett var. parviflora,261,DC
20,Carex secalina Willd. ex Wahlenb.,206,TX
21,Dioclea multiflora (Torr. & A. Gray) C. Mohr,50,CA
22,Melaleuca brevifolia Turcz.,377,PA
23,Clarkia epilobioides (Nutt. ex Torr. & A. Gray) A. Nelson & J.F. Macbr.,436,OH
24,Kunzea Rchb.,335,FL
25,Ferocactus wislizeni (Engelm.) Britton & Rose,94,NV
26,Eriogonum cusickii M.E. Jones,345,AR
27,Lesquerella prostrata A. Nelson,214,ND
28,Najas graminea Delile,329,VA
29,Panax trifolius L.,293,TX
30,Phacelia formosula Osterh.,265,KS
31,Phanerophlebia C. Presl,481,ND
32,Chaptalia dentata (L.) Cass.,199,NY
33,Echinocereus viridiflorus Engelm. var. weedinii (Leuck ex W. Blum & Mich. Lange) A.D. Zimmerman,206,TX
34,Mnium stellare Hedw.,35,KS
35,Bullatina Vezda & Poelt,5,MT
36,Pseudoleskeella sibirica (Arnell) P. Wilson & Norris,198,TX
37,Rotala ramosior (L.) Koehne,232,TX
38,Polanisia Raf.,317,MN
39,Cerastium beeringianum Cham. & Schltdl. ssp. beeringianum,221,LA
40,Tamonea boxiana (Moldenke) Howard,442,NY
41,Verrucaria maura Wahlenb.,171,VA
42,Pedicularis crenulata Benth.,120,AZ
43,Sarcographa tricosa (Ach.) Müll. Arg.,351,FL
44,Lycopodiella caroliniana (L.) Pic. Serm. var. meridionalis (Underw. & Lloyd) B. Pllg. & Windisch,245,DC
45,Ammi visnaga (L.) Lam.,316,NE
46,Tridax L.,460,WV
47,Actaea rubra (Aiton) Willd.,65,DC
48,Waldsteinia fragarioides (Michx.) Tratt.,319,GA
49,Xanthoparmelia camtschadalis (Ach.) Hale,381,KS
50,Genipa americana L.,161,FL
51,Lathrocasis L.A. Johnson,215,MA
52,Bellardia All.,225,MI
53,Thelesperma filifolium (Hook.) A. Gray var. intermedium (Rydb.) Shinners,429,IN
54,Eriogonum glandulosum (Nutt.) Nutt. ex Benth.,20,DC
55,Selaginella arbuscula (Kaulf.) Spring,174,KS
56,Quercus agrifolia Née,78,MN
57,Spermacoce floridana Urb.,332,NY
58,Lessingia lemmonii A. Gray var. peirsonii (J.T. Howell) Ferris,39,NY
59,Oligoneuron nitidum (Torr. & A. Gray) Small,401,SD
60,Helianthus ×laetiflorus Pers. (pro sp.),119,FL
61,Heliotropium procumbens Mill. var. depressum (Cham.) Fosberg,313,FL
62,Sisyrinchium xerophyllum Greene,317,TN
63,Thelypteris piedrensis (C. Chr.) Morton,60,GA
64,Lupinus latifolius Lindl. ex J. Agardh ssp. longipes (Greene) Kenney & D. Dunn,62,NC
65,Arctostaphylos stanfordiana Parry,491,CA
66,Sphagnum rubellum Wilson,25,NY
67,Symphytum asperum Lepechin,237,CA
68,Lipocarpha occidentalis (A. Gray) G. Tucker,167,FL
69,Rainiera Greene,98,DC
70,Erigeron uncialis S.F. Blake ssp. uncialis,410,AL
71,Sclerocarpus africanus Jacq.,472,DC
72,Catapyrenium squamellum (Nyl.) J.W. Thomson,24,VT
73,Arthonia leucopellaea (Ach.) Almq.,221,OH
74,Lotus alamosanus (Rose) Gentry,174,MO
75,Ficus vogelii (Miq.) Miq.,288,NV
76,Julella vitrispora (Cooke & Harkness) M.E. Barr,112,CA
77,Galium pilosum Aiton var. puncticulosum (Michx.) Torr. & A. Gray,236,TX
78,Iliamna rivularis (Douglas ex Hook.) Greene var. diversa (A. Nelson) Wiggins,35,DC
79,Hypotrachyna livida (Taylor) Hale,265,TN
80,Phyllostachys nidularia Munro,266,AZ
81,Brickellia arguta B.L. Rob. var. odontolepis B.L. Rob.,152,KY
82,Phyllanthus angustifolius (Sw.) Sw.,132,IN
83,Micarea lithinella (Nyl.) Hedl.,414,CA
84,Acarospora cinereoalba (Fink) H. Magn.,101,MI
85,Carex multicaulis L.H. Bailey,330,FL
86,Stellaria ruscifolia Pall. ex Schltdl. ssp. ruscifolia,55,MD
87,Veronica wormskjoldii Roem. & Schult. var. stelleri (Pall. ex Schrad. & Link) S.L. Welsh,420,FL
88,Urtica L.,59,CO
89,Viola ×luciae Skottsb.,41,TX
90,Arabis lemmonii S. Watson var. lemmonii,100,GA
91,Lecanora alaskensis H. Magn.,436,TN
92,Lotus nevadensis (S. Watson) Greene,259,TX
93,Machaeranthera coloradoensis (A. Gray) Osterh. var. brandegeei (Rydb.) T.J. Watson ex R.L. Hartm.,478,ID
94,Malaxis soulei L.O. Williams,17,NC
95,Kanaloa D.H. Lorence & K.R. Wood,169,GA
96,Hypolepis nigrescens Hook.,252,CA
97,Erigeron asperugineus (D.C. Eaton) A. Gray,91,FL
98,Comandra umbellata (L.) Nutt. ssp. pallida (A. DC.) Piehl,260,NY
99,Eucalyptus salicifolia (Sol.) Cav.,64,CA
100,Veronica peregrina L. ssp. peregrina,37,PA
101,Heuchera duranii Bacig.,116,PA
102,Viola ×hollickii House,309,KS
103,Polygonum punctatum Elliott,136,WV
104,Anthemis secundiramea Biv.,412,SC
105,Callirhoe alcaeoides (Michx.) A. Gray,282,OH
106,Avenula (Dumort.) Dumort.,290,OH
107,Solanum tuberosum L.,500,MN
108,Quercus ×hastingsii Sarg.,289,PA
109,Echinocereus viridiflorus Engelm. var. davisii (A.D. Houghton) W.T. Marshall,127,CA
110,Chamaesyce trachysperma (Engelm.) Millsp.,271,AL
111,Achyranthes japonica (Miq.) Nakai var. hachijoensis Honda,430,TX
112,Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,49,GA
113,Premna L.,54,MD
114,Eriogonum umbellatum Torr. var. minus I.M. Johnst.,213,TX
115,Commelina rufipes Seubert var. glabrata (D. Hunt) Faden & D.R. Hunt,354,LA
116,Isodendrion longifolium A. Gray,141,TX
117,Pediomelum hypogaeum (Nutt. ex Torr. & A. Gray) Rydb. var. hypogaeum,472,LA
118,Squamarina lentigera (Weber) Poelt,469,TX
119,Teucrium canadense L. var. hypoleucum Griseb.,472,MN
120,Pycnanthemum muticum (Michx.) Pers.,240,WV
121,Arctostaphylos catalinae P.V. Wells,97,TX
122,Tecoma castanifolia (D. Don) Melchior,412,OH
123,Lomatium hendersonii (J.M. Coult. & Rose) J.M. Coult. & Rose,443,WA
124,Pertusaria velata (Turner) Nyl.,372,MI
125,Berula Besser ex W.D.J. Koch,432,MN
126,Lachnocaulon anceps (Walter) Morong,417,CA
127,Rubus arcticus L.,498,WA
128,Miconia rubiginosa (Bonpl.) DC.,153,VA
129,Arenaria longipedunculata Hultén,92,TX
130,Rhizocarpon riparium Rasanen,255,CO
131,Lilium regale E.H. Wilson,218,MI
132,Croton sancti-lazari Croizat,169,CA
133,Goodyera oblongifolia Raf.,393,FL
134,Lecanora melaena (Hedl.) Fink,150,FL
135,Stylosanthes Sw.,146,NV
136,Evolvulus alsinoides (L.) L. var. angustifolius Torr.,38,CO
137,Leavenworthia alabamica Rollins var. brachystyla Rollins,159,LA
138,Everniastrum Hale ex Sipman,183,NC
139,Aesculus ×mutabilis (Spach) Scheele,470,NY
140,Lecanora geophila (Th. Fr.) Poelt,483,NY
141,Nymphaea ampla (Salisb.) DC. var. pulchella (DC.) Caspary,205,IN
142,Lomatium roseanum Cronquist,374,TX
143,Spilanthes oleracea L.,85,RI
144,Atriplex saccaria S. Watson,198,CA
145,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,79,NY
146,Hesperevax sparsiflora (A. Gray) Greene var. brevifolia (A. Gray) Morefield,142,CA
147,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,407,OR
148,Delphinium menziesii DC. ssp. menziesii,114,NJ
149,Malus mandshurica (Maxim.) Kom. var. sachalinensis (Juz.) Ponomar.,123,DC
150,Lecanora sambuci (Pers.) Nyl.,314,OR
151,Cornus foemina Mill.,324,NM
152,Enemion stipitatum (A. Gray) J.R. Drumm. & Hutch.,456,CA
153,Arctomia interfixa (Nyl.) Vain.,68,FL
154,Anthoceros fusiformis Austin,238,LA
155,Rhododendron calendulaceum (Michx.) Torr.,71,CA
156,Berteroa DC.,434,CA
157,Mertensia franciscana A. Heller,420,DC
